Title,Description,Creator,Source,Publisher,Date,Contributor,Rights,Relation,Identifier,Language,XML,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8
1540: Elias Lönnrot > Matias Alexander Castrén,Kirjoituspaikka: ,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1845-09-04,SKS,SKS,657:64:6,1540,ruotsi,http://localhost/uploads/1540_M.A.Castren.xml,http://localhost/uploads/lnak657_064_006a_f.jpg,http://localhost/uploads/lnak657_064_006b_f.jpg,http://localhost/uploads/lnak657_064_006c_f.jpg,http://localhost/uploads/lnak657_064_006d_f.jpg,,,,
1551: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Olonets,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1842-09-27,SKS,SKS,,1551,ruotsi,http://localhost/uploads/1551_M.A.Castren.xml,http://localhost/uploads/lnak657_064_003a_f.jpg,http://localhost/uploads/lnak657_064_003b_f.jpg,http://localhost/uploads/lnak657_064_003c_f.jpg,http://localhost/uploads/lnak657_064_003d_f.jpg,http://localhost/uploads/lnak657_064_003e_f.jpg,http://localhost/uploads/lnak657_064_003f_f.jpg,,
1574: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Laucko,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1841-07-15,SKS,SKS,657:64:1,1574,ruotsi,http://localhost/uploads/1574_M._A._Castren.xml,http://localhost/uploads/lnak657_064_001a_f.jpg,http://localhost/uploads/lnak657_064_001b_f.jpg,http://localhost/uploads/lnak657_064_001c_f.jpg,,,,,
1575: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Vyjtegra,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1842-08-06,SKS,SKS,657:64:2,1575,ruotsi,http://localhost/uploads/1575_M._A._Castren.xml,http://localhost/uploads/lnak657_064_002a_f.jpg,http://localhost/uploads/lnak657_064_002b_f.jpg,http://localhost/uploads/lnak657_064_002c_f.jpg,,,,,
1576: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1843-08-11,SKS,SKS,657:64:4,1576,ruotsi,http://localhost/uploads/1576_M._A._Castren.xml,http://localhost/uploads/lnak657_064_004a_f.jpg,http://localhost/uploads/lnak657_064_004b_f.jpg,http://localhost/uploads/lnak657_064_004c_f.jpg,http://localhost/uploads/lnak657_064_004d_f.jpg,,,,
1577: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1845-06-20,SKS,SKS,657:64:5,1577,ruotsi,http://localhost/uploads/1577_M._A._Castren.xml,http://localhost/uploads/lnak657_064_005a_f.jpg,http://localhost/uploads/lnak657_064_005b_f.jpg,http://localhost/uploads/lnak657_064_005c_f.jpg,http://localhost/uploads/lnak657_064_005d_f.jpg,,,,
1578: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1845-10-30,SKS,SKS,657:64:7,1578,ruotsi,http://localhost/uploads/1578_M._A._Castren.xml,http://localhost/uploads/lnak657_064_007a_f.jpg,http://localhost/uploads/lnak657_064_007b_f.jpg,http://localhost/uploads/lnak657_064_007c_f.jpg,http://localhost/uploads/lnak657_064_007d_f.jpg,,,,
1579: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1845-11-22,SKS,SKS,657:64:8,1579,ruotsi,http://localhost/uploads/1579_M._A._Castren.xml,http://localhost/uploads/lnak657_064_008a_f.jpg,http://localhost/uploads/lnak657_064_008b_f.jpg,,,,,,
1580: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1846-01-12,SKS,SKS,657:64:9,1580,ruotsi,http://localhost/uploads/1580_M._A._Castren.xml,http://localhost/uploads/lnak657_064_009a_f.jpg,http://localhost/uploads/lnak657_064_009b_f.jpg,http://localhost/uploads/lnak657_064_009c_f.jpg,http://localhost/uploads/lnak657_064_009d_f.jpg,,,,
1581: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1846-02-08,SKS,SKS,657:64:10,1581,ruotsi,http://localhost/uploads/1581_M._A._Castren.xml,http://localhost/uploads/lnak657_064_010a_f.jpg,http://localhost/uploads/lnak657_064_010b_f.jpg,http://localhost/uploads/lnak657_064_010c_f.jpg,,,,,
