Title,Description,Creator,Source,Publisher,Date,Contributor,Rights,Relation,Identifier,Language,Type,XML,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Sammatti,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1865-06-06,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,19:212,1057,ruotsi,kirje,http://localhost/uploads/1057_S._G._Elmgren.xml,http://localhost/uploads/lnak019_212a_f.jpg,http://localhost/uploads/lnak019_212b_f.jpg,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Laukko,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1849-03-31,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,19:204,1683,ruotsi,kirje,http://localhost/uploads/1683_S._G._Elmgren.xml,http://localhost/uploads/lnak019_204a_f.jpg,http://localhost/uploads/lnak019_204b_f.jpg,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1851-01-18,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,19:208,1702,ruotsi,kirje,http://localhost/uploads/1702_S._G._Elmgren.xml,http://localhost/uploads/lnak019_208a_f.jpg,http://localhost/uploads/lnak019_208b_f.jpg,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1850-04-14,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,Lna 81,2017,ruotsi,merkinta_konseptikirjassa,http://localhost/uploads/2017_S._G._Elmgren.xml,http://localhost/uploads/lna081_081_f.jpg,,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: kirjoituspaikka puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1848-03-15,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,Lna 81,2018,ruotsi,merkinta_konseptikirjassa,http://localhost/uploads/2018_S._G._Elmgren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: kirjoituspaikka puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1853-09-17,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,19:210,2019,ruotsi,kirje,http://localhost/uploads/2019_S._G._Elmgren.xml,http://localhost/uploads/lnak019_210a_f.jpg,,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1849-11-18,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,Lna 81,2020,ruotsi,merkinta_konseptikirjassa,http://localhost/uploads/2020_S._G._Elmgren.xml,http://localhost/uploads/lna081_080_f.jpg,,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Laukko,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1849-03-31,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,Lna 81,2021,ruotsi,merkinta_konseptikirjassa,http://localhost/uploads/2021_S._G._Elmgren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1849-09-08,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,19:206,926,ruotsi,kirje,http://localhost/uploads/926_S.G._Elmgren.xml,http://localhost/uploads/lnak019_206a_f.jpg,http://localhost/uploads/lnak019_206b_f.jpg,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1849-11-18,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,19:205,927,ruotsi,kirje,http://localhost/uploads/927_S.G._Elmgren.xml,http://localhost/uploads/lnak019_205a_f.jpg,http://localhost/uploads/lnak019_205b_f.jpg,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1850-04-14,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,19:207,941,ruotsi,kirje,http://localhost/uploads/941_S.G._Elmgren.xml,http://localhost/uploads/lnak019_207a_f.jpg,http://localhost/uploads/lnak019_207b_f.jpg,,,,,,
Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1851-09-07,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,19:209,968,ruotsi,kirje,http://localhost/uploads/968_S.G._Elmgren.xml,http://localhost/uploads/lnak019_209a_f.jpg,http://localhost/uploads/lnak019_209b_f.jpg,,,,,,
